CUSIP,ISIN,Current Face in Local Currency in Thousand,Current Face in USD,99-20 or not,Intention,Book Price,Excluded from Analysis?
65477KAD4,,3500," 3,500,000.00 ",No,AFS,99.9991,NO
96328UAK2,,3000," 3,000,000.00 ",No,AFS,99.9978,NO
58768DAD3,,3000," 3,000,000.00 ",No,AFS,99.9848,NO
02006KAD7,,3000," 3,000,000.00 ",No,AFS,99.9900,NO
92867NAE8,,2000," 2,000,000.00 ",No,AFS,99.9869,NO
44890PAD7,,1900," 1,900,000.00 ",No,AFS,99.9969,NO
34530FAE4,,1750," 1,750,000.00 ",No,AFS,99.9999,NO
73328XAD1,,1000," 1,000,000.00 ",No,AFS,99.9981,NO
98160LAC7,,908," 907,678.00 ",No,AFS,100.0000,NO
65477KAC6,,807," 807,450.77 ",No,AFS,100.0000,NO
34530FAC8,,762," 762,314.67 ",No,AFS,100.0000,NO
78447XAA2,,2432," 2,431,606.33 ",No,AFS,100.0000,NO
64033JAA3,,23321," 23,320,817.09 ",No,AFS,100.0000,NO
78442GQZ2,,50000," 50,000,000.00 ",No,AFS,100.2051,NO
78442GJS6,,49045," 49,045,000.00 ",No,AFS,99.8837,NO
69339PAA9,,46272," 45,689,882.50 ",No,AFS,100.0000,NO
78448BAB7,,25000," 25,000,000.00 ",No,AFS,99.8707,NO
28140DAB9,,24699," 24,699,422.73 ",No,AFS,99.5793,NO
78447GAB7,,31467," 31,466,627.71 ",No,AFS,99.8956,NO
78445JAA5,US78445JAA51,22957," 22,956,945.53 ",No,AFS,103.7215,NO
78448CAG4,,21500," 21,500,000.00 ",No,AFS,100.0000,NO
78442GLX2,,35870," 35,870,000.00 ",No,AFS,100.3482,NO
78444YAC9,US78444YAC93,20411," 20,411,365.72 ",No,AFS,101.5983,NO
78448AAA1,,22733," 22,732,550.83 ",No,AFS,100.1260,NO
49130NCH0,,18052," 18,051,562.50 ",No,AFS,99.3664,NO
78442GMS2,US78442GMS20,18204," 18,204,281.36 ",No,AFS,100.1155,NO
78442GKS4,US78442GKS48,16558," 16,558,449.80 ",No,AFS,99.8165,NO
78442GKM7,US78442GKM77,16080," 16,079,695.36 ",No,AFS,100.0000,NO
78445AAD8,US78445AAD81,15000," 15,000,000.00 ",No,AFS,105.0560,NO
78444YAD7,US78444YAD76,24000," 24,000,000.00 ",No,AFS,104.0733,NO
78442GRG3,US78442GRG37,15485," 15,485,111.01 ",No,AFS,100.0002,NO
78442GRN8,US78442GRN87,15382," 15,382,057.14 ",No,AFS,99.9778,NO
78447AAA2,US78447AAA25,14665," 14,664,578.43 ",No,AFS,100.9551,NO
78446YAA1,US78446YAA10,25155," 25,154,209.15 ",No,AFS,100.9887,NO
78442GMD5,US78442GMD50,14515," 14,515,201.04 ",No,AFS,100.0377,NO
78442GPP5,US78442GPP53,12222," 12,221,838.38 ",No,AFS,98.7553,NO
78442GLH7,US78442GLH73,11303," 11,302,692.64 ",No,AFS,98.7677,NO
78445FAB1,US78445FAB13,9503," 9,503,147.85 ",No,AFS,100.3816,NO
64032HAD2,US64032HAD26,9000," 9,000,000.00 ",No,AFS,103.5033,NO
78443YAB2,US78443YAB20,9133," 9,132,824.88 ",No,AFS,99.8767,NO
78443VAE2,US78443VAE20,9000," 9,000,000.00 ",No,AFS,95.7024,NO
36156HAQ1,,7879," 7,879,444.90 ",No,AFS,99.7236,NO
78443VAD4,US78443VAD47,8392," 8,392,458.44 ",No,AFS,99.7534,NO
78442GPG5,US78442GPG54,8000," 8,000,000.00 ",No,AFS,97.4515,NO
78442GPF7,US78442GPF71,7758," 7,757,522.58 ",No,AFS,99.9323,NO
83149EAD9,US83149EAD94,7718," 7,718,336.79 ",No,AFS,99.9460,NO
86386MAY0,US86386MAY03,7149," 7,149,459.35 ",No,AFS,101.6307,NO
78444GAB0,US78444GAB05,7399," 7,398,529.58 ",No,AFS,100.3591,NO
78444CAC7,US78444CAC73,7000," 7,000,000.00 ",No,AFS,99.8995,NO
78446JAA4,US78446JAA43,12197," 12,196,652.43 ",No,AFS,100.3469,NO
78447YAC6,,6000," 6,000,000.00 ",No,AFS,99.3968,NO
78447KAB8,,6000," 6,000,000.00 ",No,AFS,99.9521,NO
78443HAD5,US78443HAD52,5520," 5,520,248.14 ",No,AFS,99.9511,NO
78448BAC5,,5400," 5,400,000.00 ",No,AFS,99.4013,NO
78444GAC8,US78444GAC87,5300," 5,300,000.00 ",No,AFS,101.4498,NO
78443XAB4,US78443XAB47,5259," 5,258,746.72 ",No,AFS,99.9091,NO
78447KAC6,,5000," 5,000,000.00 ",No,AFS,100.0000,NO
78442GPA8,US78442GPA84,4780," 4,780,052.44 ",No,AFS,99.9151,NO
78442GSC1,US78442GSC14,4575," 4,574,984.94 ",No,AFS,99.7889,NO
78442GLQ7,,4365," 4,364,943.77 ",No,AFS,99.9439,NO
78447MAB4,US78447MAB46,4000," 4,000,000.00 ",No,AFS,99.6310,NO
78443GAD7,US78443GAD79,3301," 3,300,982.99 ",No,AFS,99.7974,NO
78446WAC1,US78446WAC10,3000," 3,000,000.00 ",No,AFS,101.9883,NO
78447YAB8,,3000," 3,000,000.00 ",No,AFS,99.8527,NO
78442GLV6,,2645," 2,644,548.48 ",No,AFS,100.0772,NO
78443YAC0,US78443YAC03,2660," 2,660,000.00 ",No,AFS,98.7585,NO
78444CAB9,US78444CAB90,2615," 2,614,668.23 ",No,AFS,100.1127,NO
78442GQP4,US78442GQP45,2589," 2,588,706.64 ",No,AFS,99.4335,NO
78447GAC5,US78447GAC50,1900," 1,900,000.00 ",No,AFS,100.2918,NO
83714RBA0,,267," 266,962.81 ",No,AFS,99.7570,NO
78442GRU2,US78442GRU21,1640," 1,639,763.45 ",No,AFS,99.9784,NO
78444EAB5,US78444EAB56,1439," 1,438,905.74 ",No,AFS,100.0437,NO
78445CAB8,US78445CAB81,1080," 1,080,077.77 ",No,AFS,100.4456,NO
784442AB1,US784442AB10,931," 931,336.41 ",No,AFS,100.1944,NO
83149EAE7,US83149EAE77,600," 600,000.00 ",No,AFS,97.6681,NO
78443KAD8,US78443KAD81,563," 563,125.72 ",No,AFS,99.7781,NO
78444XAB3,US78444XAB38,537," 536,560.57 ",No,AFS,100.1677,NO
78448DAA5,,25168," 25,167,775.24 ",No,AFS,100.0618,NO
784419AE3,US784419AE32,8610," 8,609,752.22 ",No,AFS,89.8844,NO
78446XAA3,,6715," 6,714,785.07 ",No,AFS,100.1123,NO
78446DAA7,US78446DAA72,5778," 5,777,656.65 ",No,AFS,100.0256,NO
78447BAA0,,5430," 5,430,054.78 ",No,AFS,100.0000,NO
78446VAA7,US78446VAA70,3574," 3,574,202.23 ",No,AFS,100.5844,NO
78446TAA2,USU82903AA07,3057," 3,056,843.77 ",No,AFS,100.4968,NO
78447VAA6,,2172," 2,172,238.97 ",No,AFS,100.0000,NO
617451FM6,US617451FM61,5000," 5,000,000.00 ",No,AFS,100.0000,NO
12591UAJ2,US12591UAJ25,5000," 5,000,000.00 ",No,AFS,106.4715,NO
07387BFS7,US07387BFS79,4965," 4,964,864.05 ",No,AFS,104.8274,NO
46641WBA4,,5000," 5,000,000.00 ",No,AFS,102.9098,NO
92890FAY2,,5000," 5,000,000.00 ",No,AFS,102.9832,NO
17322VAW6,,5000," 5,000,000.00 ",No,AFS,102.9578,NO
46639NAW1,US46639NAW11,5000," 5,000,000.00 ",No,AFS,96.4966,NO
52108HQ23,US52108HQ231,5000," 5,000,000.00 ",No,AFS,100.0000,NO
90349DAB8,,5000," 5,000,000.00 ",No,AFS,101.4995,NO
36197XAQ7,US36197XAQ79,5000," 5,000,000.00 ",No,AFS,102.7606,NO
92890NAT6,,5000," 5,000,000.00 ",No,AFS,102.0173,NO
17320DAS7,US17320DAS71,5000," 5,000,000.00 ",No,AFS,102.6333,NO
46639YAW7,,10000," 10,000,000.00 ",No,AFS,99.3937,NO
12624XAD0,,5000," 5,000,000.00 ",No,AFS,102.6805,NO
92890PAJ3,,8000," 8,000,000.00 ",No,AFS,102.0225,NO
52108H3F9,US52108H3F95,4155," 4,154,595.54 ",No,AFS,100.5708,NO
46640JAP2,,4524," 4,524,000.00 ",No,AFS,100.8302,NO
61745MW41,US61745MW419,2964," 2,963,809.36 ",No,AFS,100.7129,NO
17318UAB0,,4470," 4,470,000.00 ",No,AFS,101.7755,NO
46638UAM8,US46638UAM80,4000," 4,000,000.00 ",No,AFS,104.9250,NO
61690KAE2,,4155," 4,155,000.00 ",No,AFS,102.6741,NO
225458DN5,US225458DN59,4000," 4,000,000.00 ",No,AFS,100.2178,NO
46640LAB8,,3858," 3,858,000.00 ",No,AFS,102.1087,NO
92938CAH0,,3750," 3,750,000.00 ",No,AFS,99.9941,NO
20173WAE8,US20173WAE84,3131," 3,131,449.59 ",No,AFS,104.5670,NO
07387MAG4,US07387MAG42,3300," 3,300,000.00 ",No,AFS,102.4773,NO
60688BAD0,US60688BAD01,3000," 3,000,000.00 ",No,AFS,105.6688,NO
22545LAD1,US22545LAD10,3056," 3,055,546.80 ",No,AFS,102.5651,NO
92979FAD2,US92979FAD24,2901," 2,901,000.00 ",No,AFS,104.2188,NO
52108H2U7,US52108H2U71,1015," 1,014,976.01 ",No,AFS,100.5784,NO
61761DAH5,US61761DAH52,3000," 3,000,000.00 ",No,AFS,105.3081,NO
17318UAG9,,3000," 3,000,000.00 ",No,AFS,102.1933,NO
96221QAF0,,3000," 3,000,000.00 ",No,AFS,102.7985,NO
12624QAC7,US12624QAC78,3000," 3,000,000.00 ",No,AFS,98.7342,NO
59022HJK9,US59022HJK95,2202," 2,201,601.00 ",No,AFS,100.0217,NO
46625YQR7,US46625YQR70,2970," 2,970,000.00 ",No,AFS,101.8720,NO
61690KAK8,,3000," 3,000,000.00 ",No,AFS,103.1337,NO
46625YUA9,US46625YUA99,2896," 2,896,182.16 ",No,AFS,101.9043,NO
94988HAC5,,3000," 3,000,000.00 ",No,AFS,102.0445,NO
12626GAP8,US12626GAP81,2500," 2,500,000.00 ",No,AFS,102.8016,NO
225470F73,US225470F737,2590," 2,590,000.00 ",No,AFS,103.1446,NO
